,country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
274,BRAZIL,,,,5043,,,openai,5043,B193
275,BRAZIL,,,,5043,,,openai,5043,B194
276,BRAZIL,,,,3910,,,openai,3910,B194
277,BRAZIL,,,,3948,,,orgIntel,3948,B194
278,BRAZIL,,,,8299,,,orgIntel,8299,B195
279,BRAZIL,,,,8303,,,openai,8303,B194
280,BRAZIL,,,,8303,,,openai,8303,B195
281,BRAZIL,,,,8307,,,orgIntel,8307,B195
282,BRAZIL,,,,8311,,,openai,8311,B195
283,BRAZIL,,,,8367,,,openai,8367,B196
284,BRAZIL,,,,8371,,,openai,8371,B196
285,BRAZIL,,,,8904,,,openai,8904,B196
286,BRAZIL,,,,8904,,,openai,8904,B197
287,BRAZIL,,,,8908,,,openai,8908,B197
289,BRAZIL,,,,8920,,,openai,8920,B197
290,BRAZIL,,,,7077,,,orgIntel,7077,B198
291,BRAZIL,,,,7085,,,openai,7085,B198
292,BRAZIL,,,,7145,,,openai,7145,B198
293,BRAZIL,,,,7145,,,openai,7145,B199
294,BRAZIL,,,,8125,,,orgIntel,8125,B199
295,BRAZIL,,,,8129,,,openai,8129,B199
296,BRAZIL,,,,8133,,,orgIntel,8133,B199
297,BRAZIL,,,,8137,,,openai,8137,B199
298,BRAZIL,,,,8673,,,openai,8673,B199
299,BRAZIL,,,,8673,,,openai,8673,B200
300,BRAZIL,,,,8677,,,openai,8677,B200
301,BRAZIL,,,,8678,,,orgIntel,8678,B200
302,BRAZIL,,,,8681,,,openai,8681,B200
303,BRAZIL,,,,8844,,,openai,8844,B202
304,BRAZIL,,,,8848,,,openai,8848,B202
305,BRAZIL,,,,8852,,,openai,8852,B202
306,BRAZIL,,,,8856,,,orgIntel,8856,B202
307,BRAZIL,,,,8021,,,openai,8021,B203
308,BRAZIL,,,,8283,,,orgIntel,8283,B205
309,BRAZIL,,,,8287,,,openai,8287,B205
310,BRAZIL,,,,8291,,,openai,8291,B205
311,BRAZIL,,,,8295,,,orgIntel,8295,B205
312,BRAZIL,,,,8525,,,openai,8525,B206
313,BRAZIL,,,,8529,,,openai,8529,B206
314,BRAZIL,,,,8057,,,openai,8057,B209
316,BRAZIL,,,,8065,,,openai,8065,B209
317,BRAZIL,,,,8069,,,orgIntel,8069,B209
318,BRAZIL,,,,8685,,,openai,8685,B210
320,BRAZIL,,,,8375,,,openai,8375,B211
321,BRAZIL,,,,8379,,,openai,8379,B211
322,BRAZIL,,,,8381,,,openai,8381,B211
323,BRAZIL,,,,8385,,,openai,8385,B211
324,BRAZIL,,,,5840,,,openai,5840,B213
325,BRAZIL,,,,5864,,,openai,5864,B213
326,BRAZIL,,,,3224,,,openai,3224,B214
327,BRAZIL,,,,3317,,,openai,3317,B213
328,BRAZIL,,,,3317,,,openai,3317,B214
329,BRAZIL,,,,3547,,,openai,3547,B214
330,BRAZIL,,,,3551,,,openai,3551,B214
331,BRAZIL,,,,3551,,,openai,3551,B215
332,BRAZIL,,,,8251,,,openai,8251,B215
333,BRAZIL,,,,8255,,,openai,8255,B215
335,BRAZIL,,,,8263,,,openai,8263,B215
336,BRAZIL,,,,7809,,,openai,7809,B218
337,BRAZIL,,,,7815,,,openai,7815,B218
338,BRAZIL,,,,7921,,,openai,7921,B218
339,BRAZIL,,,,7932,,,openai,7932,B218
340,BRAZIL,,,,7932,,,openai,7932,B222
341,BRAZIL,,,,4782,,,openai,4782,B222
342,BRAZIL,,,,4803,,,orgIntel,4803,B222
343,BRAZIL,,,,4832,,,openai,4832,B222
344,BRAZIL,,,,4842,,,openai,4842,B222
345,BRAZIL,,,,1924,,,openai,1924,B223
346,BRAZIL,,,,2047,,,orgIntel,2047,B223
348,BRAZIL,,,,2261,,,openai,2261,B223
349,BRAZIL,,,,2354,,,openai,2354,B223
350,BRAZIL,,,,8746,,,orgIntel,8746,B224
351,BRAZIL,,,,8750,,,openai,8750,B224
352,BRAZIL,,,,8754,,,orgIntel,8754,B224
353,BRAZIL,,,,8173,,,openai,8173,B225
354,BRAZIL,,,,8758,,,openai,8758,B225
355,BRAZIL,,,,8758,,,openai,8758,B227
357,BRAZIL,,,,8776,,,orgIntel,8776,B227
358,BRAZIL,,,,8780,,,openai,8780,B227
359,BRAZIL,,,,4612,,,openai,4612,B227
360,BRAZIL,,,,4612,,,openai,4612,B228
361,BRAZIL,,,,4689,,,openai,4689,B228
362,BRAZIL,,,,4721,,,openai,4721,B228
363,BRAZIL,,,,4722,,,openai,4722,B227
364,BRAZIL,,,,4722,,,openai,4722,B228
366,BRAZIL,,,,2634,,,openai,2634,B228
367,BRAZIL,,,,2634,,,openai,2634,B229
369,BRAZIL,,,,2841,,,openai,2841,B228
370,BRAZIL,,,,2841,,,openai,2841,B229
371,BRAZIL,,,,8459,,,orgIntel,8459,B230
372,BRAZIL,,,,8463,,,openai,8463,B230
374,BRAZIL,,,,8471,,,openai,8471,B230
375,SPAIN,,,,8866,,,openai,8866,S001
376,SPAIN,,,,8870,,,openai,8870,S001
377,SPAIN,,,,8874,,,openai,8874,S001
378,SPAIN,,,,8878,,,openai,8878,S001
379,SPAIN,,,,8882,,,openai,8882,S001
380,SPAIN,,,,8012,,,openai,8012,S003
381,SPAIN,,,,8016,,,openai,8016,S003
382,SPAIN,,,,8020,,,orgIntel,8020,S003
383,SPAIN,,,,7498,,,openai,7498,S004
384,SPAIN,,,,7623,,,orgIntel,7623,S004
385,SPAIN,,,,7745,,,orgIntel,7745,S004
386,SPAIN,,,,7869,,,openai,7869,S003
387,SPAIN,,,,7869,,,openai,7869,S004
388,SPAIN,,,,7899,,,openai,7899,S004
389,SPAIN,,,,8838,,,openai,8838,S005
390,SPAIN,,,,8842,,,openai,8842,S003
391,SPAIN,,,,8842,,,openai,8842,S005
392,SPAIN,,,,8846,,,openai,8846,S005
393,SPAIN,,,,8850,,,openai,8850,S007
394,SPAIN,,,,8850,,,openai,8850,S005
395,SPAIN,,,,8040,,,openai,8040,S006
396,SPAIN,,,,8044,,,openai,8044,S006
397,SPAIN,,,,8047,,,openai,8047,S006
398,SPAIN,,,,8048,,,openai,8048,S006
399,SPAIN,,,,10731,,,openai,10731,S006
400,SPAIN,,,,10731,,,openai,10731,S007
401,SPAIN,,,,10784,,,openai,10784,S007
402,SPAIN,,,,10871,,,openai,10871,S007
403,SPAIN,,,,10908,,,orgIntel,10908,S006
404,SPAIN,,,,10908,,,orgIntel,10908,S007
405,SPAIN,,,,7092,,,openai,7092,S006
406,SPAIN,,,,7092,,,openai,7092,S008
407,SPAIN,,,,7096,,,openai,7096,S008
408,SPAIN,,,,8854,,,openai,8854,S009
409,SPAIN,,,,8858,,,orgIntel,8858,S009
410,SPAIN,,,,8859,,,openai,8859,S009
411,SPAIN,,,,8862,,,openai,8862,S010
412,SPAIN,,,,8862,,,openai,8862,S009
413,SPAIN,,,,7951,,,openai,7951,S010
414,SPAIN,,,,7956,,,openai,7956,S010
415,SPAIN,,,,8004,,,openai,8004,S011
416,SPAIN,,,,8004,,,openai,8004,S010
417,SPAIN,,,,8008,,,openai,8008,S010
418,SPAIN,,,,8890,,,openai,8890,S011
419,SPAIN,,,,8894,,,openai,8894,S011
420,SPAIN,,,,7165,,,openai,7165,S011
421,SPAIN,,,,7165,,,openai,7165,S012
422,SPAIN,,,,7238,,,openai,7238,S012
423,SPAIN,,,,7351,,,openai,7351,S012
424,SPAIN,,,,8886,,,openai,8886,S013
425,SPAIN,,,,8120,,,openai,8120,S014
426,SPAIN,,,,8124,,,openai,8124,S014
428,SPAIN,,,,8732,,,openai,8732,S101
429,SPAIN,,,,8736,,,orgIntel,8736,S101
430,SPAIN,,,,8740,,,openai,8740,S101
432,SPAIN,,,,8748,,,openai,8748,S101
433,SPAIN,,,,8752,,,openai,8752,S101
434,SPAIN,,,,8756,,,openai,8756,S101
435,SPAIN,,,,8024,,,openai,8024,S102
436,SPAIN,,,,8028,,,openai,8028,S102
437,SPAIN,,,,8032,,,openai,8032,S102
439,SPAIN,,,,7008,,,openai,7008,S103
440,SPAIN,,,,7012,,,openai,7012,S103
441,SPAIN,,,,7016,,,openai,7016,S103
442,SPAIN,,,,7020,,,orgIntel,7020,S103
443,SPAIN,,,,8663,,,openai,8663,S121
444,SPAIN,,,,8667,,,openai,8667,S121
445,SPAIN,,,,8671,,,openai,8671,S121
446,SPAIN,,,,7056,,,orgIntel,7056,S121
447,SPAIN,,,,7056,,,orgIntel,7056,S122
448,SPAIN,,,,8152,,,openai,8152,S123
449,SPAIN,,,,8156,,,openai,8156,S123
450,SPAIN,,,,8160,,,openai,8160,S123
451,SPAIN,,,,8164,,,openai,8164,S123
452,SPAIN,,,,8627,,,openai,8627,S124
453,SPAIN,,,,8631,,,openai,8631,S123
454,SPAIN,,,,8631,,,openai,8631,S124
455,SPAIN,,,,8635,,,openai,8635,S124
456,SPAIN,,,,8639,,,orgIntel,8639,S125
457,SPAIN,,,,8639,,,orgIntel,8639,S124
459,SPAIN,,,,5893,,,openai,5893,S125
460,SPAIN,,,,5914,,,openai,5914,S125
461,SPAIN,,,,8241,,,openai,8241,S126
462,SPAIN,,,,8245,,,openai,8245,S126
464,SPAIN,,,,8253,,,openai,8253,S126
466,SPAIN,,,,8261,,,openai,8261,S126
467,SPAIN,,,,8265,,,openai,8265,S126
469,SPAIN,,,,8435,,,openai,8435,S127
470,SPAIN,,,,9268,,,openai,9268,S128
471,SPAIN,,,,9325,,,openai,9325,S128
472,SPAIN,,,,9384,,,openai,9384,S128
473,SPAIN,,,,9472,,,openai,9472,S128
474,SPAIN,,,,9531,,,openai,9531,S128
475,SPAIN,,,,7024,,,openai,7024,S129
476,SPAIN,,,,7028,,,openai,7028,S129
478,SPAIN,,,,7036,,,openai,7036,S129
479,SPAIN,,,,8341,,,openai,8341,S130
480,SPAIN,,,,8345,,,openai,8345,S129
481,SPAIN,,,,8345,,,openai,8345,S130
483,SPAIN,,,,8353,,,openai,8353,S130
484,SPAIN,,,,8684,,,openai,8684,S131
485,SPAIN,,,,8688,,,openai,8688,S131
486,SPAIN,,,,8692,,,openai,8692,S131
487,SPAIN,,,,8696,,,openai,8696,S131
488,SPAIN,,,,6909,,,openai,6909,S131
489,SPAIN,,,,6909,,,openai,6909,S132
490,SPAIN,,,,6912,,,openai,6912,S132
491,SPAIN,,,,6915,,,openai,6915,S131
492,SPAIN,,,,6915,,,openai,6915,S132
493,SPAIN,,,,8233,,,openai,8233,S133
494,SPAIN,,,,8237,,,orgIntel,8237,S133
495,SPAIN,,,,8615,,,orgIntel,8615,S133
496,SPAIN,,,,8615,,,orgIntel,8615,S134
498,SPAIN,,,,8623,,,openai,8623,S134
499,SPAIN,,,,7064,,,openai,7064,S135
500,SPAIN,,,,7068,,,openai,7068,S134
501,SPAIN,,,,7068,,,openai,7068,S135
502,SPAIN,,,,7072,,,openai,7072,S135
503,SPAIN,,,,7076,,,orgIntel,7076,S135
504,SPAIN,,,,7080,,,openai,7080,S135
505,SPAIN,,,,7084,,,openai,7084,S135
506,SPAIN,,,,7088,,,openai,7088,S136
507,SPAIN,,,,7088,,,openai,7088,S135
508,SPAIN,,,,8277,,,orgIntel,8277,S136
510,SPAIN,,,,8285,,,openai,8285,S136
512,SPAIN,,,,8411,,,openai,8411,S137
513,SPAIN,,,,8412,,,openai,8412,S136
514,SPAIN,,,,8412,,,openai,8412,S137
515,SPAIN,,,,8415,,,openai,8415,S137
516,SPAIN,,,,8419,,,openai,8419,S137
517,SPAIN,,,,8423,,,openai,8423,S137
518,SPAIN,,,,8427,,,orgIntel,8427,S139
519,SPAIN,,,,8427,,,orgIntel,8427,S137
520,SPAIN,,,,4953,,,openai,4953,S139
521,SPAIN,,,,5237,,,orgIntel,5237,S139
522,SPAIN,,,,5743,,,orgIntel,5743,S139
523,SPAIN,,,,8565,,,openai,8565,S140
524,SPAIN,,,,8760,,,openai,8760,S141
525,SPAIN,,,,8774,,,openai,8774,S140
526,SPAIN,,,,8774,,,openai,8774,S141
527,SPAIN,,,,6932,,,openai,6932,S142
528,SPAIN,,,,6938,,,openai,6938,S142
529,SPAIN,,,,6941,,,orgIntel,6941,S142
530,SPAIN,,,,6942,,,openai,6942,S142
531,SPAIN,,,,6943,,,orgIntel,6943,S141
